tanh不行
{"Bleu_1": 0.7868697875193666, "Bleu_2": 0.6292667394795737, "Bleu_3": 0.47790497582978136, "Bleu_4": 0.35542174673558735, "METEOR": 0.2814228015582245, "ROUGE_L": 0.5725957821085753, "CIDEr": 1.189138431913567, "SPICE": 0.21622723714873818}epoch:14
{"Bleu_1": 0.7907682404133546, "Bleu_2": 0.6337837595393109, "Bleu_3": 0.4832394984384753, "Bleu_4": 0.3618004111481378, "METEOR": 0.2821508933046109, "ROUGE_L": 0.5750922529042928, "CIDEr": 1.1994591861518415, "SPICE": 0.21663200265022278}epoch:15
{"Bleu_1": 0.7876770391812099, "Bleu_2": 0.6304748553195108, "Bleu_3": 0.48001639850422895, "Bleu_4": 0.3581240302549212, "METEOR": 0.2835543966808518, "ROUGE_L": 0.5740922109155637, "CIDEr": 1.1975265116492957, "SPICE": 0.21844346318975022}epoch:16
{"Bleu_1": 0.7895510167822852, "Bleu_2": 0.6311486482052104, "Bleu_3": 0.4798437633178961, "Bleu_4": 0.3578925663705804, "METEOR": 0.28144808474296323, "ROUGE_L": 0.5736418366594774, "CIDEr": 1.1949540428839287, "SPICE": 0.21594573786817586}epoch:17
{"Bleu_1": 0.7888596710910596, "Bleu_2": 0.6323824136621444, "Bleu_3": 0.481772068702806, "Bleu_4": 0.36039696801038024, "METEOR": 0.2832783375280956, "ROUGE_L": 0.5758320726855298, "CIDEr": 1.1973758199207347, "SPICE": 0.21854070801950856}epoch:18
{"Bleu_1": 0.7888976903193365, "Bleu_2": 0.6313460590860536, "Bleu_3": 0.4807365055389227, "Bleu_4": 0.3603490066131108, "METEOR": 0.2824574331476384, "ROUGE_L": 0.574097102235306, "CIDEr": 1.1967728721775954, "SPICE": 0.21879839424382294}epoch:19

test epoch 15
{"Bleu_1": 0.7830176714297629, "Bleu_2": 0.6238255975241326, "Bleu_3": 0.4748859552117263, "Bleu_4": 0.3533713240968361, "METEOR": 0.2791761330367055, "ROUGE_L": 0.5694743848075581, "CIDEr": 1.1826166487394365, "SPICE": 0.21381760863672952}

# 3层 use_npair_loss prefix50 with const50 learn use_npair_loss=True for only the last layer lamada=0.1
